
"id" "quote" "review"
"10" "rn398304938" "Busy" "
Mcdonalds on Broadway is a standard chain restaurant near Times Square. It is almost always busy. Food is as expected. The price is right BUT service is slow and it is hard to keep the premises clean. This is a reasoned choice for a quick, cheap bite but don't expect anything special.
"
"id" "quote" "review"
"1" "rn396239462" "After theater" "
I had been an excellente experience at MCD after theather. Just value, hot meal, friendly and it was clean.
"
"2" "rn392883147" "Employees wrong places" "
lot of employees there to take your order and your money, but no one there to take care of bathrooms. cant they see all the lines at the bathrooms? or do they care only about the money the customers bring in and the bathrooms don't make money so they can care less if there are a thousand people in line....


More  


"
"3" "rn390321007" "Dirty Dirty Dirty" "
Very dirty and the bathrooms were not enough to deal with the amount of people that come in. Food came fairly quickly and was decent, the environment just wasn't appealing in the slightest.
"
"4" "rn389779916" "Not enough toilets for customers, long queues." "
A Big Mac is a Big Mac wherever in the world you go. Only different is this one is in Times Square. Could do with about 10 more toilets.
"
"5" "rn384930253" "McDonald's on Broadway" "
When we went to Times Square, the kids got hungry and so were the adults and the fast food place we saw was, McDonald's restaurant. This is like no McDonald's you've ever been too. There were around 10 cashiers taking orders, but, they were a bit slow or overloaded with customers. The people working the register were confused and the...


More  


"
"6" "rn381054796" "Good breakfast" "
We had breakfast our here, the location is very convenient because our hotel is nearby. We loved their Sausage McMuffin biscuit. Its tastes so good.
"
"7" "rn377711883" "Crazy! Crazy! Crazy!" "
With the hustle and bustle of the Big Apple in the background, waiting for your Happy Meal or whatever tickles your fancy makes it quite the experience waiting for your order! Go and see!
"
"8" "rn376602451" "Fast Service" "
Very convenient location - right in Times Square. As you can imagine though, the place was packed. Although our order came quickly which is very important, there was little regard to delivering customer service of any kind.
"
"9" "rn373827805" "Nyc" "
This branch was at the beginning of Times square this is the one thing i was really wanting to try.....really disappointed.I only eat a mcchicken sandwich it had a spicy coating not for everyone if you don't like spice ate some chips and drank the strawberry milk shake this branch wasn't that clean either...didn't go near it again and wont
"
"10" "rn372872276" "Burnt cow " "
We all do that famous , got to go mc d's while your away.
We stopped here for a bite on our first night. We never went back .
My burger was so burnt and dry!!!!!
I couldn't even eat it.
Deffo not one for the recommendation list !!!
"
"id" "quote" "review"
"1" "rn372476742" "Too busy" "
Not sure it is always like this but I was there with 100's of cheerleaders, service sucked because all of the people and orders were just thrown at you even if it was something you didn't order or want....
"
"2" "rn371264683" "A very busy place" "
We ate in here late one night and what a busy place
Had to wait a long time for our order to be completed.
Certainly not like those in the UK when it comes to the meals,portions seem much larger and when it comes to their burgers that is not always a good thing. Burgers seem to be served on...


More  


"
"3" "rn371048477" "Perfect for a few bites" "
This is the place which is always packed with people (mind you, most of the places in Times Square). The chicken wrap was excellent! The stuff are not always friendly, probably overworked and fed up with the always present crowd.
"
"4" "rn369341186" "OK Coffee" "
This is a large McDonalds, but the service in the morning was slow. The coffee was ok at best--they put the milk in and it was too cold. The place was clean and the staf were friendly.
"
"5" "rn368986111" "Surprisingly great burger" "
I would not normally be a fan of McDonald's food . but have to say it can be very convenient sometimes . Like when are in Times Square new your and everywhere is so busy it was very easy to pop into McDonalds in the square and grab a quick bite to eat . The surprising thing for me was...


More  


"
"6" "rn366487938" "My last McDonald's review in the trifecta" "
This place is dirty. The lines are long and people butt-in while the staff takes no notice. If you want to pushed out of the way, deal with panhandle's inside, have trouble finding a place to sit all the while having to eat McDonald's food then go to this location. If you want a slightly better experience see my review...


More  


"
"7" "rn366363333" "A Familiar Bite In The Heart Of NY." "
By far the most recognizable brand on Times Square, this is one McD that's almost always jam packed! Fair warning though; the prices here are slightly higher than the other McDs in town!
"
"8" "rn364338226" "Breakfast - Times Square" "
Don't tend to go to McDonald's too much, but do love breakfast. Went on our last day, early, plenty of seating upstairs, nice relaxed breakfast looking out over Times Square.
Did not use the facilities, but can image it as we have seen the crowds in this McDonald's during the day. Best avoided during peak times. Just beside the Disney...


More  


"
"9" "rn362933708" "Worst McDonalds ever" "
This place is simply filthy. Floors and tables are completely dirty. Food is not hot, and of course, overpriced.
"
"10" "rn362655504" "McDonalds always makes you feel like home" "
No matter where you are there is always a McDonalds near home. It felt good to have some familiar food. Prices were reasonable for the area. Always fun to have a cone or fries, gotta love them fries.
"
"id" "quote" "review"
"1" "rn362636636" "mcdonalds next to madamme tussards" "
Bloody awful. A cut through for the homeless and beggers to prey on you. they took my husbands food as he went to the toilet, then begging cups shoved in your face as you ate, Banned my kids from the toilet just not safe, awful exoperience, staff didnt care was just a normal day but very upsetting for us all....


More  


"
"2" "rn362269124" "Plenty of seats" "
Went to McDonald's for lunch & it was far the best we have seen in New York . Plenty of seats very clean & tidy . The staff was very nice & helpful if you needed directions .
So if you are in the area & visiting attractions pop in for a coffee or soft dink .
"
"3" "rn361133498" "Quick and easy" "
Right in time square, we always visit when we are in town, The wait was never long but it was March.
"
"4" "rn361001327" "Disgusting" "
Waited 15 minutes in line to use the restroom, which was filthy. I know it's in a big city, and it's a McDonalds in a big city at that, but there were no locks, soap, or toilet paper. There was a huge puddle of some unidentified substance all over the floor. To add insult to injury, the staff member who...


More  


"
"5" "rn360072566" "Surprising good" "
We had breakfast here on our first morning in New York as our 4 children insisted on eating a McDonalds in America.
The service was good, restaurant clean and the food good.
"
"6" "rn357180971" "First Night of NYC trip Dinner Spot" "
On the first night of my spring break New York City trip after being on an Amtrak for 12 hours I wanted something cheap and delicious for dinner. My dad got the QPC meal and I got the 10pc McNuggets meal our food was yummy. The only problem was the line for the bathroom, I had to go but the...


More  


"
"7" "rn355769536" "frightening at night" "
the usual but very crowded and dirty--and not safe at all after dark
Still a french fry is a french fry
"
"8" "rn353268822" "Rude and dirty" "
We arrived late from our trip, and we saw this Mc´Donalds, the girl who attended us was really rude.
Take care in this MC Donalds, there are lots of thieves checking your stuff.
I dont recommend this MC Donald, it doesnt worth it, there are other better places.
"
"9" "rn352851485" "A little messy but good" "
It's understandable that it's hard for such a restaurant to remain clean, tidy and ordered at this location. But the speed they dealt with our order is a bit more slower, as I felt. Anyway, like the decoration style on its second floor, as well as the view over the square!
"
"10" "rn352484442" "Cool view" "
Just a regular McDonald's. Nothing special, except for the view of Times Square. Take a coffee to warm up and enjoy the view...
"
"id" "quote" "review"
"1" "rn352257518" "Late night visit" "
I visited this McDonald's at night with my lady, and I am glad it was open for business as we were hungry but the state of cleanliness was not existent. There were hobos sleeping in tables and floors and tables not cleaned. It smelled like the hobos in there, so eating food was not that great there.
The managers and...


More  


"
"2" "rn350497949" "Tooooooo crowded!" "
Way too crowded. Not even a place to stand!
Not allowed to use the bathroom. Need to explain and beg for the key to the toilet.
It's obvious people are going to come for the bathroom, because you're located on Times Square!
Unfriendly staff. Tables not clean. No security. Toilet not clean.
Nobody wants to go to the toilet to...


More  


"
"3" "rn350115717" "An inexpensive place well situated on Times Square" "
We were in a bit of a hurry, just like most everybody in NYC, and needed a breakfast that was budget-lite...MacD's was ready for us, and right next to our hotel. Breakfast was served promptly, and there was ample seating upstairs. Recommended.
"
"4" "rn348577027" "It's the height of fast food" "
The only reason I came here was because my 17 year old son wanted a burger. I do not eat anything on the menu because of the fat content.
"
"5" "rn344512292" "Decent quick stop!" "
Ordering food was intense with the lines, but good food. and they didn't seem to find special orders, just takes a few minutes. Order more than one soda to go! They'll put them in a bag for you! There is a lot of seating upstairs, and the bathrooms were clean, down this big open hallway.
"
"6" "rn343659142" "Need the bathroom? Coffee?" "
Remove yourself from the crush of Times Square by dropping into here. Always a lot of people and a line, but you can get into the bathroom. Probably the cheapest cup of coffee in Times Square.
"
"7" "rn343501211" "Close to Times Square !" "
Like any other McD, but located in the heart of NYC..Nothing different except the large & shining 'M' - McDonalds logo..
"
"8" "rn342452133" "Stupid Crowded" "
Ok, It's McDonald's this just goes to show you that people can be sold on anything and any place when their on vacation. Why on earth is McDonald's so crowded? Because it's on Broadway? People are in here sitting down, talking and having lunch like it's a real restaurant. There was no seat available, and the line for the restroom...


More  


"
"9" "rn341508658" "Not lovin it!!!" "
On our short stay. We stopped here a couple of times. On each occasion there were issues with our orders. On the last occasion the server was so slow the server next to him served four customers to his one.
I placed my order of three hot fudge sundaes with extra sauce. Now how hard can that be??? Well extremely...


More  


"
"10" "rn340557276" "Im Lovin It" "
Its not your typical MacDonalds. Packed 24/7, several lines 10 deep and 2 stories high. But if you are a Mickey D coffee addict....its the best place to go. The 2nd floor has a stunning view of Times Square....if you don't mind waiting for a seat.
The orders came out fast and the place is clean. But the orders came...


More  


"
"id" "quote" "review"
"1" "rn339404198" "A good, fast, option in busy Times Square!" "
This McDonald's is similar to many local McDonald's as far as menu items and prices. However, as it is in the heart of Times Square, it offers a quick break from the hustle and bustle of the area and it is very clean. It also is a great spot for people watching as tourists from all over the world stop...


More  


"
"2" "rn339238372" "Bonkers!! Long question frantic pace utter mayhem!!!" "
This McDonalds is really busy! Service fast food slow nothing special less than average. Would not go out of my way to go again.
"
"3" "rn339191484" "Location, service and location" "
We had a nice meal at another restaurant but my jet lagged wife was getting a bit sleepy so we went in to the McDonald’s just for some coffee so she could stay awake for Lion King. It began to drizzle and the lines quickly formed but they the wait wasn’t long at all. We ordered our coffees and someone...


More  


"
"4" "rn338244142" "Enjoy the view" "
Talk about expensive piece of real estate!
A great view out the windows here... it is pretty packed and busy as you would expect. But there must have been 10 cash registers lined up beside each other at the front which is a site I have never seen before for a fast food joint.
The interior is decorated with NYC...


More  


"
"5" "rn336518414" "awesome view" "
Try to grab a seat by the window and you will be rewarded with an awesome view of Times Square. It's perfect for crowd watching, if there is nobody eyeing your seat.
"
"6" "rn335232558" "Cheap" "
Located right next to our hotel. We stopped in for a late night dinner. Very cheap meal. Great staff and service. Crowded, but the line went fast
"
"7" "rn335198637" "Gat your coffee here" "
Instead of expensive Starbucks, this is a good place to get your morning coffee. I've learned this trick in many cities around the world.
"
"8" "rn334765110" "A different McDonald`s" "
Almost all MacDonald´s are very similar, around the world, Moscow, Shanghai, London, or Paris, however , this Broadway one, it is really different in terms of interior design.
The food is exactly the some, as others.
"
"9" "rn334427179" "Great place to get a quick and cheap meal in Time Square." "
You would think the prices on time square would be doubled, but the food prices in the McDonald's is the same as the one's near my home in DC. They are fast and easy when you are in a rush with family and don't want to spend your whole budget on overpriced New York City food.
"
"10" "rn333768144" "Quick food" "
McDonald's is McDonald's. Nothing fancy here! Quick food when you're on the go. Can get a bit busy at times.
"
"id" "quote" "review"
"1" "rn332181738" "Great location" "
In the middle of Times Square is perfect! Reminds me of Rock N Roll McDonald's in Chicago. The location is perfect, tons of tourist and always packed. The new all day breakfast menu is a win but it's a limited menu.
"
"2" "rn332181143" "Just what the fast food is" "
Old McDonald had a farm... Busy- of course, as it is located at Time Square. A huge choice of fast food when you pass by& order a burger for your fast lunch.
"
"3" "rn330529327" "Slow service and rude staff" "
We went here the first evening we arrived in New York just because we were tired and it was near our hotel but it wasn't a good experience. We waited 30 minutes for our food and had to ask several times where it was. Other customers were being served before us and the staff were miserable and surly. Don't bother...


More  


"
"4" "rn329435725" "McDonalds fast food" "
I like this place. There are so many types of hamburgers my favorite one it`s with bacon. It`s delicious. There is always crowd but I never wait too much for my meal.
"
"5" "rn329139764" "Bustling Times Square McDonalds" "
As it's in Time Square, it gets very busy but service was quick & efficient. Good spot to people watch if you can get a space near a window. You know what the food's like.
"
"6" "rn328786933" "McDonald's!" "
Expect the fact that the place was very noisy the day I visited, I enjoyed my quick grub. Loved my happy meal minions :D
"
"7" "rn327431160" "Meh.. Its Mcdonalds..." "
Why am I reviewing this..? Its just a Mcdonalds but in Time Square.. Go for it, you know what your getting yourself into.
"
"8" "rn327108452" "big crowds" "
It is right in times square, so they get really busy in here. The staff move through the customers fairly quickly and always seem happy and helpful.
"
"9" "rn327091434" "nice" "
nice burgers and cola . location is good. But you have to pay for toşlets. Bring change with you. Dont forget.
"
"10" "rn326170588" "NIce place to be" "
Excellent place to be
since they dont serve halal I had fish burger and the ice cream both amazing thanks
"
"id" "quote" "review"
"1" "rn324237539" "crowded" "
its mcdonalds like everywhere.. crowded cheap eat..nothing different..the bathroom is always crowded so if you want to go there to run to the bathroom good luck!
"
"2" "rn323277944" "A Disappointment" "
We are big fans of McDonalds, as a rule, because the food is consistent everywhere in the world. Not so at the Times Square location. We had breakfast there twice. The place was packed but the food was good and the service was acceptable. Not so at night. We popped in for a burger around 10 pm mid-week. Again, the...


More  


"
"3" "rn320335388" "Why eat at McDonald's?" "
With all the gourmet restaurants in this exciting city, why would ANYONE go to McDonald's, either here or anywhere else, to eat food that has been washed in ammonia to become \"fit for human consumption\"?
"
"4" "rn318078618" "Yumm Yumm" "
I love Mcdonalds! but i came from a country where we need BATHROOMS! we need bathrooms for much people so we dont waste time on lines!.... food is great, prices too, but the personal brings slow service.
"
"5" "rn317441477" "Very slow service and the food was cold." "
Nothing much too say except the service was slow and the food was cold. The soda was flat.
wasPrettordinaryordinary experience really.
"
"6" "rn316951413" "Average McD" "
This is a heavily busy small shop for quick meal in the heart of Downtown. Not so clean and probably one of the average McDs in terms of cleanness I have seen across different places of the World.But for sure the service was quick and no compromise of McD's taste, staff was polite.
"
"7" "rn315575683" "Inexpensive and tasty for the very very rare treat" "
Once in awhile a chicken snack wrap with no sauce is just fabulous! On the very very rare occasion, a small fry is the best taste in the world :). Even still about once a year to have a small fry inside a small cheese burger is simply delightful. McDonald's or any dessert is deadly if consumed as food regularly,...


More  


"
"8" "rn315413407" "The worse at the world" "
We went to lunch to this place and we found the must dirty place in NYC, so much crowdy, only one restroom for men and one for women so you can imagine the long files to get it, but the worse part it was the bathroom like a garbage collector terrible experience
"
"9" "rn314078349" "Busiest McD" "
1. Busiest McDonald
2. Right at the spot
3. 24 hours open
4. Good service
5. Good food
6. Extremely good location
"
"10" "rn313183379" "near to visitors center" "
This is located right at the times square visitors center. So you can starve and walk till you reach the vistors center and have good food here.
"
"id" "quote" "review"
"1" "rn311343248" "an old reliable eating option" "
Strategically located close to time square. It´s a reliable meal when you are far from home and you are in a rush.
Service was fast and good.
"
"2" "rn307624552" "An average Macdonalds that is very busy" "
Of course always busy and pretty slow service. The food wasn't that hot but I've been to worse places and better ones too!
"
"3" "rn306138828" "It's Mcdonald's" "
Crowded but the service was ok. Had to walk upstairs to sit and eat that's what I disliked. The prices were average for Times square
"
"4" "rn303696666" "LARGEST MCDONALD'S" "
Just went because it is the largest McDonald's. Same old stuff but, a great people watching place if you can find room. Heard all kids of languages talking and so crowed.
"
"5" "rn303270817" "Chaotic Fast Food" "
It is for the most part what you would expect. The food quality and service are typical of any McDonalds, however this one is far more crowded than your average neighborhood fast food restaurant.
I would have rated it higher. Its fine that it is crowded and busy, but with a little effort managment could better organize the place. Its...


More  


"
"6" "rn302269850" "Burger Times" "
Try the Beef burger! I liked the quality of the meat. It was tasty. The fillet-o-fish was also damn fresh. The sitting place is a bit shady like the dungeon or like social milieu.
"
"7" "rn300394156" "Next to the Palace Theater" "
I stopped to have a coffee here before the show at the Palace Theater. While I sat at the window, I watched an artist on the street doing caricatures for $5.00. I proceeded
outside and received a fabulous large rendition of me dancing on the skyscrapers of
N.Y.C.'s Times Square. He covered it and matted it like a pro. A...


More  


"
"8" "rn299992437" "Busy McDonald's but a great place for breakfast." "
This McDonald's is right in the heart of Times Square so it is extremely busy. It is a great place to have breakfast in the morning, sitting on the second floor looking out the window onto the crowd outside. During the day, don't expect it to be a quick stop because of the crowd inside.
"
"9" "rn299714651" "It is what it is, it's Mc Donalds" "
For a local McDonalds, I thought the service and food was a little above average. The cheeseburger here was better than most of the others I have had recently. What the standout was to give it its very good is a new product called the Frozen Strawberry Lemonade. It is so good on a hot day and it cuts through...


More  


"
"10" "rn299129023" "Modern and quick service" "
Impressive service and seating very modern alot different from Canadian mcDonalds that's for sure ...we ate her a lot as t was fairly priced and our dollar was at a low rate . love those walk up windows bt we did like to go in and sit down...only con was only one ladies washroom stall...always a line up
"
"id" "quote" "review"
"1" "rn298021523" "The worst md I have ever had" "
As a lover of McDonalds I couldn't wait to try my first MD in New York. However I was so disappointed,the burgers were tiny compared to the UK burgers and there was so much salt in it that it was horrible to eat. The fries were also very different and instead of the lovely crisp fries like I normally eat,...


More  


"
"2" "rn296516986" "Its convenient but very busy" "
Whilst you are paying the earth for places to eat around Time Square, the trusted MCD remains loyal, its like every other store but just very busy.
"
"3" "rn293935096" "Eat elsewhere or find a different McDonald's. GO AT YOUR OWN RISK" "
Just too crowded. Dirty. Loud. This location kind of attracts a lot of the classless characters you may find in Times Square. But at least the employees are kind of nice.
"
"4" "rn293716778" "Staff were rude " "
I asked how much it was for a meal and she told me the price and put it on her machine and I said no sorry I don't want that don't have enough and she huffed and puffed at me when it's clearly her fault her hearings bad I then asked for fries and she took 30
Minutes to get...


More  


"
"5" "rn293179032" "Quick breakfast on the run" "
Stopped by for a quick breakfast before heading to the airport. Loved the coffee. The sausage and egg biscuit was good. Quick service and easy access.
"
"6" "rn293106825" "McDonalds is a cheap place to rest weary feet" "
Watch out for panhandlers. They like to interrupt your meal to beg and no-one stops them. You can get some good views from this strategically placed McDonalds and it's a cheap place to sit if you've been on your feet for a long time.
"
"7" "rn289333946" "It's a McDonald's" "
All I can say is it isn't the cleanest McDonald's I have been to. But to be fair it is very busy and that would make it difficult to keep up with cleanliness.
"
"8" "rn288675675" "Nice Stop for a Break" "
This whole area is so busy that we decided to pop into McDonalds for a quick bite and to relax. It is a a large restaurant with an upper floor, so there is lots of seating. The service was quick, the lunch was hot, and we got a table to eat at. It was very busy when we were there...


More  


"
"9" "rn286043731" "Average MaccyD" "
Good coffee is all I can say. Food and service very, very average. Only go here if you have no more than $5 on you.
"
"10" "rn285097843" "Good, but..." "
The good thing about McD is the consistency, almost no matter where you are in the world. There are decent restrooms and usually you can find seats to get some rest during a short brake. The bad thing is that the place is boring and plastic.
"
