"","text"
"22.content","GHETTO!! went in yesterday just to get a soda and could not even park in handicap park spot becaus their deliveri truck was block all spaces. ξFinal made it insid and it was about 5 custom to one cashier. The shift manag made the comment that the car that was wait need to be pull up becaus they are hold up her line. ξNow how is that when they are wait on their order...hel I was think you are hold up the custom and the other waiting.! Anyway final place order and was told $1.07, which I paid exact price. Here is where it sad...th cashier did not ring up the soda so therefor I did not get a receipt. I know that she plan to pocket the money, which is sad and bad becaus eventu that cost will get pass off to custom through price increases. I will not return here becaus I don't like to feel like I am in someon ""hood"" and I HATE A THIEF!!! mayb I will call to tell them but then again they probabl don't care or mayb even steal themselves. ξplus I do not eat fast food anyway so no need to wast precious minut"
"23.content","I visit mcdonald on Dec 20, 2011 at 12:54 I bought 3 chees burger 2 larg fri and 2 order of pies. ξThey charg me for 3 fri so I went back into store and told the cashier. She deni I said ξ I order 2 fries. ξThen manag came over and said what the problem. I told him and he said look into the bag, grab the xtra fri and lteral threw them into the wast bucket by the drive tru from the cashier . ξThen reach into cash regist and gave me chang for the fries. ξThen i said thank you and he said ok boss and I left. ξI then call mcdonald peopl via the nimber on the websit after I ate. I told then I was go to wait to yelp after I heard from McDonalds. ξStill no call or email. ξAs a side note ...Tom N. ξ(the otther yelper) is right, they are veri rude there and seem bother to help you and not at all nice to the kids. ξThe play room is sticki and the video game in ther alway caus an alterc with kid and parents. ξThe onli reason I gave 2 star was becaus the fri were hot and the sweet potato fri were good and warm."
"24.content","I usual hit the drive thru onc or twice a week for breakfast. A lot of time the forget to includ the hash brown if I order a meal. If I order hot cake they usual forget either butter or utinsil prompt me to have to go inside. The food is also veri inconsistent."
"25.content","What a joke.Don't do take out as you will not get anyth that you ordered. We prefer and paid for item onli to get home with 50% of the order accurate. I've been there numer time and sad the same thing happens. It my fault becaus I should learn.Do anyon know the owner?I can't believ that he would like this comment. Woodstock Macdonald is not the place that Ray Crock invented. Save yourself the frustrat and wast if money, don't go there!I'v learn now."
"26.content","I wish I can give zero stars. Freez cold reheat soggi fri and twice fri chewi nugget = straight to my trash can."
"27.content","I agre with most review on this one. Staff is alway rude and annoy that you'r there!!1 I travel week to Atlanta Hartsfield Airport and this McDonald never has fresh hot coffe at 4:30/5:00 AM. Alway have to wait while they brew coffee, WTH!!"
"28.content","I don't think this locat deserv even one star. ξThis is the filthiest McDonald I have ever visited. ξI have been to hundr of differ McDonald in numer state as well as 19 foreign countries. I went to this locat on 3/29/12 for breakfast. ξThe first thing I notic was that the floor was sticky. (A previous review made a similar comment about the play area.) When I notic this, I said to myself, ""this isn't right."" ξThen when I look for a place to sit, I spot all the debri in the seat crevic and the floor. There were also fli in the dine area which I had to repeat brush off my food. ξAs for the food, it seem OK, except, this was the first time ever that I was given cold syrup for my hotcak at a McDonalds.."
"29.content","This is one rude Mcdonalds! The food take longer to prepar than ani other Macdonald I have ever been to. The peopl work there alway seem annoy like you are bother them just by be there. I avoid this mc d whenev I can."
"30.content","the manag at this mcdonald are awesom but some of the worker are lazy. ξoveral an averag mcdonalds. ξafter visit it and some other onc i realiz that this one is realli average. ξthe onli thing good about this one is that the manag is awesom and it across the street from my hous so i can sit around and studi till midnight and no one bother me."
"31.content","It had been a while sinc I had stop at this particular one. ξThey have done a total remodel and it look fair fresh. ξStop by about ξ10-11pm and went through drive thru. ξI thought I'd tri a new McWrap. ξGot a fri and a spici chick along with that. ξ I was ask to pull up after sit at the window for a few minut and they would bring me ξmi order. ξThat is fine, except about 15 minut later I'm still waiting. ξSo I go to check what is go on and end up wait anoth 5 minutes. ξ It appear I wasn't the onli one that had a long wait in drive thru as well. ξ McWrap - I was disappointed. ξLook like a wrap that had grill chicken sprinkl with some mix greens, then had sweet and sour sauc dump in it."
"32.content","Disorganized. ξDidn't even get to order. Employe were hang out with friend out front."
"33.content","This has got to be one of the busiest McDonald in the metro area ... if not the southeast ... and they are fair effici despit be so busi all the time.You can come by just about ani time of the day and find the line of car for the ""drive-thru"" wrap around the building...It general more effici to go into the build and place your order than wait in the line of car spew smog... and sinc the build is open 24 hour now that should make it easi to get your McFix...good job, Clairmont McDonald's!"
"34.content","THIS MCDONALDS IS HORRIBLE! They are also down the street from my house. You might just want to go to the next McDonald down the street, less than half a mile maybe. It brand new and just opened. The review here speak for themselves. NO CUSTOMER SERVICE WHATSOEVER. they alway rush you at drive-thru and never get the meal correct becaus they are all ignor fuck who can't speak proper English or don't even know English. They don't even give you time to respond on an order completion. I've dine insid and it was fine, howev it was dirti around me on most occasions. But 99% of the time I eat there, MY MEAL IS ALWAYS INCORRECT! Always! It ridiculous! I found out it an ongo problem; especi at this store. The fri are alway pre sort and they are a hot or miss. They are realli good or realli bad, which is realli annoying. The sandwich is the same, sometim they put fresh drip meat on the bun and it make it soggy, which is disgusting. Most of the time the sandwich is just plain incorrect. I've had to call corpor about the poor custom servic I've had with employe and sever manag at this location; as well as the constant issu of my order be mess up (which is veri inconveni in drive-thru). I'm tell you, go to the next McDonald's. The employe here hate their job and are idiots."
"35.content","Nut and bolts: Stop by on my way into work to grab breakfast after get some Sam Club gas.Pros: Conveni locat for me, right off I-85. Fast service.Cons: The sausag biscuit I had was sub-par. ξThe biscuit was overcook and hard. ξThe sausag was not cook enough. ξOnli gave me one jelli packet. ξMost place give me at least two. ξForgot to give me a straw for my sweet tea. ξSweet tea was not sweet enough. ξGave me no napkins. ξNeutral: ξWhen I was in line paying, a woman pull up next to me to complain to the cashier that someth was wrong with her order. ξSo she jump in front of me to get her order fixed. ξNeutral about this sinc I don't have details.Tak home: I will tri them one more time. ξIf they fail again, I will just pass."
"36.content","The ice cream machin is alway ""down"" after 11 p.m. If you want a hot fudg sundae, don't even bother."
"37.content","Regular McDonald's. Close to the highway which can be good and bad."
"38.content","Stop here on the way downtown this morn to get a yogurt parfait. ξThese snake gave me dairi product that had an expir ""use by"" sticker and I didn't even notic until I was halfway to downtown. Gross, guys. ξThere no point in put fresh date on your food if the employe can't or won't read."
"39.content","I high recommend this McDonalds!******if and onli if you are trap at Northsid Hospital, are raven hungry, and have absolut no other option. ξEate at this McDonald is slight better than eat out of a vend machin or dumpster."
"40.content","TOXIC DUMP! In food qualiti and employe humanity/work effortTypically, I do NOT eat McDonald food; yet similar to the experi of other ""trapped"" at Northsid Hospit there is no other option if you are hungri outsid of the hospit cafeteria hour of operation. Due to a relat stay and my visits/overnight for 11 weeks~ I too found myself ""trapped"" and therefor forc to buy at McDonalds. Most my visit were for coffe or ice cream sundaes. However, last night, for the first time I order food (grill chicken salad) I return it ~ the meat smell BADLY. This did not surpris me and onli enforc my resolv to avoid chain food restaurants.What did surpris me and absolut SHOCKED me was the custom servic offer by employe ~ HOW in the world can you BE an employe here and NOT for ONE MINUTE or even a second acknowledg the obvious FACT that you work insid a HOSPITAL; then consid what that mean for each and everi person that approach your counter to order. HOW you do not SEE them, in FACT that you easili DISMISS them, is beyond my comprehens to understand! HOW you lost your sens of humanity, in all honest should caus you to paus and contempl this ~ Are you not awar that you are reflect how YOU measur within YOU your own sens of dignity?Within my and family/friend of patient at Northsid Hospit for the past 11 weeks: each and everi time I/they had to place an order I /they was/wer subject to McDonald toxic busi model (in food) which now has transfer (we learned) into their employees. NOT onc was I thank for give my order; NOT ONCE was I thank when deliv my order. Yet, at EVERi visit I WAITED and wit employe behavior that were readili display and relay in bodi language, effort toward actual work, and obvious attitud not onli toward me, but guest in front of me. God forbid I happen to have question in refer to the menu (employe response: blank stare, shrug, look behind them at menu onli to turn back around with a blank stare and/or shrug again). ξGod forbid, on separ occas I happen to ask for a spoon/napkin/straw. Last night, I happen to ask for my drink pleas (after receiv my salad and wait for longer than normal) YIKES, you think I had ask him to draw blood!***On more detail regardless if I arriv at 2am, 4am or between 7:30 pm ~ 11 pm this McDonald is ALWAYS consist FILTHY! Not just dirty, but FILTHY!Can anyon lift a broom to sweep up the garbag in the service/cook area; also in the dine room?Can anyon clean the crud surround the plastic display case for cooki ALREADY? It been 11 week and that crud is STILL smear dried; just gross.Wash/disinfect the countertops, payment pads, straw holders, everywher spill occur; includ area custom touch. EVERi HOUR! Get it? Everi singl hour! GET a clean ONLi employee! This employe will do NOTHING but be THE OCD employe you NEED! Just stop this ATROCIOUSLi DIRTi & DISGUSTING feed trough you call a restaurant. You should be ashamed.**************************************************�_**************************************Northsid Hospit ~ ξYOU are respons for allow this restaur to wallow within your walls! How mani more year will you ignor not onli the unhealthi food option McDonald supplies~ but to continu to ALLOW a daili dose of DELIBERATE and DILIGENT unhealthy, negative, and ""put upon"" attitud from employees, to be deliv to family, friend and employe that are there onli becaus they CARE and are there for YOUR patients! HOW this doe NOT caus you to react and ACT is beyond me.In my world, with SO MANi option available, this place would be GONE ~ like TODAY; certain NOT ani longer than tomorrow!Thi toxic wast site is dump daili dose of negativity, inhumanity~ it seep and reverber within the wall of this hospital. I know you FEEL IT!"
"41.content","I know i shouldn't need to ask but experi has proven it a good I idea, tonight I forgot ξto ask them to make sure the coffe wasn't old and after i drove ani i check and it was not onli old it was cold!"
"42.content","I don't often eat at McDonald's, or ever in fact. I don't have much expect for healthi food but the one thing I do expect is decent servic and fast food. This branch for neither. Food was realli slow to come out and I had to ask thrice for the coffe that i ordered. Shock servic deliveri"
"43.content","Littl bit more expens than other Mickey Dee's. Beggar can't be choosy. Slow servic and it packed. it open 24/7/365. and the worker are pretti nice. didn't have mani other choic and this fill the need."
"44.content","This is the McDonald insid the Northsid Hospital.For be the onli option to get someth to eat (evid they don't have a proper cafeteria like most hospit do) it had to do...Complet disorgan are the onli two decent word I can come up for this place. ξThere was a huge rush of peopl odd enough that evening, and the staff had no clue what to do. ξOrder were wrong, miss items, and the wait time was unbearable."
"45.content","The worst McDonald ever. Complet chaos. The price are higher than the averag and they don't have all of the regular item like latt or fraps. The staff seem to be uninterest in take or complet your order. It is as if they are awar that you are pretti much at their mercy."
"46.content","A captiv audienc of transient visitor and exhaust staff are the onli way this McDonalds, which is basic the onli food option at Northsid Hospital, could possibl stay in business."
"47.content","AND STILL FRENCH FRi CHAMP.........The burger tast not sop much.... But this locat fast and friendly."
"48.content","BEWARE! I saw the manag fill order for drive-thru custom use bare hand - no glove or utensil to pack fri - and this is the weirdest thing ever: she was finger plastic cup lids!?! Don't know what els to call it! She poke her finger through the plastic cup lid (in the slit made for straws) befor insert straws! What the hell for? Imagin a finger, no gloves, super long nails, painted, and this be insert into everi cup lid befor insert the straw! Whi did she need to expos custom to her nail and the shit and germ (nail look filthy!) underneath? She was use her nail as a tool! The straw can be use to go through the straw slit! No need for a finger nail! FILTHY! I saw this go on insid while the poor folk in drive-thru didn't see this! And the cashier had a bad cold and was wipe his runni nose all over with the back of his hand! What can you expect if the manag herself is filthi and pollut the food! Who know where her hand'a been?"
"49.content","Worst Mc Donald in all of Atlanta... 15-25 min stop everi time even if they have no customers. Straight ridiculous. I live across the street and REFUSE to stop there. Nope I will NEVER give anyon my money who to a locat doesn't valu and appreci it. Same manag everi time... common trend? call regional, pretend to care. Either way... onli thing they will give you is COLD food after a 30 min wait, a major headach and crappi service! SKIP THIS STOP!"
"50.content","Its good. 24hr"
"51.content","What the freak-nik is this?Ther are 25 car in the drive thru at 9am. ξIs everybodi go to Mickey Dee today?you can guess that volum of busi like this, mean that someon go to get their order wrong...and today it was me.They put chees on my steak BISCUIT, but I request a steak and egg BAGEL. I had to request a straw for my larg soda. ξGuess I should have check my sandwich while I look for the miss straw.I expect much better from a Mickey Dee"
"52.content","I've enjoy a coupl eggwhit delight here, but not much else. I usual realli like McDonald salad as a quick, relat healthi option on a tight budget, but the salad I've had at this particular restaur has been just kind of gross."
"53.content","Sometimes, you just need a Mickey D fix. Usually, for me anyway, that ""sometime"" is veri late at night - er, earli in the morning, depend on how you want to slice it.24-hour drive thru - check. Fri still made fresh at all hour - check, check. A doubl cheeseburg for a steal ($1) and a Coke to go with. CHECK! Yep, all your drive-thru goody/bad- wait for you.yum."
"54.content","My order was fresh and prepar correctly. They were friend and move the drive-thru line quick dure the lunch rush. Veri good!"
"55.content","The worst McDonald franchis I've visited. ξI fire off complaint to McDonald Corp. ξthink they might want someth for their file to rid themselv of this lazi franchise & all I got was a lame apolog month later w/ a coupon for more food! ξIt was well after the dinner rush, everi tabl was dirty, floor so sticki I almost walk outta my shoes, sur staff, just plain dirty."
"56.content","I've gone to this McDonald sever time and they'v gotten my order complet wrong. I go there befor work around 7:30 so I'm veri hungri and I order a bacon egg and chees biscuit... Once I get to work I find what is in my bag is actual an egg mcmuffin...I absolut hate those..so of cours it too late for me to drive back and get my correct order. I dont expect this to happen and it a elveru bisi mcdonald so i dont stop at the srive thru to check my bag.I'd just like to say,if this happen onc In a blue moon,that fine. Mistak happen..but not this mani times. Over it. I also notic that while I'm give my order at the drive thru,th person take it is either never pay attent or rude. I wish this would change.. This McDonald seem to be constant pack with peopl in the morn becaus it on a veri high traffic road so they need to reevalu their custom service."
"57.content","This is the most disgust McDonald on the planet. ξDoubt me? ξGo into this nauseat cesspool and find out for yourself. ξI was shock becaus it was in a veri nice area and has a playground. ξIt is by far the nastiest McDonald I have ever been into."
"58.content","""I gotta wake my ass up at six AM everi day of this week and drag myself up to Vascalinas. Yeah, I'm do the drywal up there at the new McDonalds."" -- Office Space (1999)So what a differ a complet overhaul makes. ξThis locat was recent LEVELED and rebuilt - and they did a complet 180 - and when I say that, the build was even rotat by 90 degrees.So this is in an area where most of the street around it are one way, so it can be confus to get in and out of - and the previous drive-thru began and end in differ places. ξNow, they redesign the place so that it make more sens and the flow work even better than befor - and the previous locat was there for 30 years? ξWow.Th new one is sleek, clean, modern and beautiful. ξThe drive-thru staff was super friend (I was buy a Sprite for heaven sake) and both the young ladi who took my money and the one who hand me my drink said ""we hope to see you back here again soon."" ξThat great service, person and I would be happi to return (not that I do McD veri often). ξBut I'm more apt to come to this one than ani other."
"59.content","This is by far the wors McDonald I've ever been too. My bf want their chicken nugget becaus it was $1.99 for 10 pieces. We got there and place an order for 30 pieces. It took us 15 minut to get it and he was charg twice the amount. We were told by the cashier that the manag would fix this problem and he never did until we had to ask ourselves. Overal it took a long time to get our food, we receiv the wrong sauces, and it was an overal poor experience. I will not return to this location."
"60.content","Food is what you would expect from McDonald but the manag and staff could use some coach in custom service. ξI come to this restaur frequent in the morn & the manag alway seem to have a sur attitude. ξHe act as though he is do you a big favor to wait on you and even take your money"
"61.content","Went to order a meal via drive through and there was a live roach (not waterbug) on the window crawl in mid day. I show it to the gentleman that was collect my payment and he never notic the roach there. I cancel my order immedi and drove away."
"62.content","Befor a morn round of golf, I need a quick breakfast. ξIt had to be quick becaus I need to make my tee time. ξIt had to be big becaus I need energi for the course. ξI stop into this Mickey D and right behind the regist I saw ""Big Breakfast with Hotcakes."" ξSound good to me.Just second after swipe my credit card, I was hand a tray with three hotcak (McDonald pancakes), scrambl eggs, a sausag patty, a biscuit, and a McDonald hash brown. ξOh yeah, and two contain each of syrup and butter. ξAll this for less than five bucks. ξNow that what I call fast food. ξIt fast and it cheap. ξThis is whi America has an obes problem.Near the end of my meal, I start to realiz that it was a lot of food. ξI can eat a lot and I could have probabl done OK without the extra hash brown or biscuit (I was also rushing). ξFor three pancakes, I onli need one contain of syrup. ξI like their butter. ξIt veri wispy. ξEveryth was good and tast consist with what you'd expect of McDonald's. ξOut of curiosity, I went to McDonald web site to see how mani calori was in this meal: 1,090."
"63.content","My Wife and I have been to this McDonald about 10 time sinc the rebuild. There is a whole new staff of peopl work there. In the 10 visit we have yet to get a complet order. I went insid the restaur this even in hope of elimin the issu we had been having. I order 2 quarter pounders, 2 appl pie and 1 hamburger. I was given my order to go, miss the 2 appl pie and hamburger. Bewar if you go to this McDonald and check your order."
"64.content","Typic McDonald restaur locat at Power Ferri and New Northsid on the north end of the perimeter. I have alway avoid this locat due to the fact that I'm not realli a fan of McDonald in general, but the other morn on my way to work I was crave some breakfast and onli had time to pull into a drive-thru and grab a quick bite to go. Sinc McDonald is the onli place with a drive-thru on my way to work I stop by here to grab their special 2 bacon, egg, & chees biscuit for $2.50. The food was ok, just tast like you would expect McDonald food to taste. The servic was pretti good at the drive-thru, they were friend enough. But what realli get me is how lazi has America becom that the drive-thru welcom and what would you like to order has to be autom at McDonald's."
"65.content","It'll make ya fat"
"66.content","On my way to Curri Honda for my schedul mainten appointment, I went to the drive-thru of this McDonald sinc it was so conveni locat almost adjac to the Honda dealership. ξIt was around 1:45 pm on a Saturday afternoon, and there were probabl onli two car in front of me, so I thought I'd be in and out of there quickly. ξWhat I thought would be a ""quick"" drive-thru took over ten minutes. ξI'm not sure what the hold up was, but perhap one (or both) of the car in front of me got a larg order. ξAll I order was a Spici McChicken Sandwich, small fries, and a cup of ice water.Again, Curri Honda is locat super close to the McDonald's, so the food should have still been hot (or at least warm) when I got there. ξHowever, when I sat down to eat my food in the wait room, I notic the sandwich and fri were bare warm, and the ice in my water was almost complet melted. ξI guess the food had been cook and sit out for a while, and they must keep cup of ice water readi to hand out to customers. ξBoo. ξIt was my first time tri the Spici McChicken Sandwich, and I thought it was decent. ξIt has a veri slight kick of spice and is at least a littl more interest than the plain ol McChicken Sandwich.Overall, this McDonald get 3 star for be ""OK."" ξYes, servic could have been quicker, and the food should have been serv hotter, but this is a McDonald and at least the employe were friendly. ξI may return to this McDonald if I'm on my way to Curri Honda and didn't have time to grab food elsewhere, but it wouldn't be my top choic for fast food in the area.[Review 324 of 366]"
"67.content","Just sat at drive thru sever minut no one is answering. I can see employe walk around and it is 5:48 am and they should be open. I wonder if this franchis owner is awar that he is lose busi due to this. I bet they do and dont care."
"68.content","Holi crap dudes, this is the fastest McDonald in Atlanta. ξI place a special order dure rush hour (two Egg McMuffin with no Canadian bacon), and by the time I reach the pickup window someon was alreadi walk my order to the window.And they even got it just the way I like it -- no eggshells!"
"69.content","I purchas a specialti coffe in the drive through, but soon after I pull out and away I realiz I had been given a black coffe for the price of $3. Mistak happen so I kept my receipt and went back exact a week later within the hour, sinc I was make the same trip. I went inside, out of respect to show my face that I wasn't tri to scam them, and the manag was work the register. I told him what happen and that I'd like the specialti coffe I origin ordered. He point that it had been a week sinc the origin purchas and that he need proof I wasn't lie about my incorrect order. Mind you, at 6:30am 6 peopl were all wait around for their order, which show slow and poor service. I didn't argu and I walk away leav my receipt on the counter. I was simpli ask for a coffee, not even an entir meal. I don't post about these sort of things, but this time was different. The manag could have easili offer a varieti of resolutions, but all he said was ""no I'm sorry"". Well, I'm sorry, but I've never been so dissatisfi with custom servic and let alon manag of a restaurant! Pleas stay away from this locat for the sake of your pocket and your sanity."
"70.content","the last 20 time we been to this McDonald they screw up the order at the drive thru and walk in the guy with the Afro don't care I think he a manag"
"71.content","I've general had good servic here, but this morn at the drive-thru was the pits. ξI was initi 6 car back from ordering, and it serious took me about 10 minut to get my food. ξWhen I was ordering, I had to repeat it four time veri slowli and they still got my drink size wrong. ξWhen I got it, my food was great, but the visit was veri pain overall. ξI hope this visit was a fluke. . ."
"72.content","Hot fri i like."
"73.content","The custom servic was HORRIBLE! ξThey seem angri to work here and they would get upset if you ask for more ketchup or condiments. Also, the kid play area was filthy. It had old dirti food on the floor and it was ξfull of lint. Stay away from this location."
"74.content","Custom servic is well below par here. I place my order through the intercom and was told that I'd have to pay in separ transact if I were to use more than 1 coupon. I expect that and was fine with it up until I got to the window in which one of the girl work the cashier had a problem with me use the coupon and I quote, mentioned, ""I don't give a d*** and a f*** what she wants."" I never make it a goal to be difficult to other peopl and I find it veri rude, let alon unnecessary, that I receiv this treatment. It is part of your job duti to simpli put in a custom order. If you don't like your job, you have no busi be there, and there are plenti of job seeker out there who would be more deserv of your position. To top it off, after I left the restaurant, I open my bag to find out that I didn't receiv everyth I order and paid for."
"75.content","Food is good but what with all the fli and nat alway in the air? ξI've menton this to manag befor but it seem like noth has changed. ξ I'm go to the McDonald on Hudson Bridg from now on."
"76.content","Fruit fli anyone? There is a huge fruit fli infest here. I have been here twice in 3 month and the problem still exists."
"77.content","Best McDonald ice cream is here!"
"78.content","This is a busi Mcdonald at all time even late at night. The drive thru seem to be where they are do most of their busi when I visit the area. I have never had a problem out of servic here as I am one those who use the drive thru too. My order is alway right. It within walk distanc of sever hotels. ξ ξI do not know anyth about the dine area sinc I alway use the drive thru. Custom servic has been great as they alway take care of me.When I go to McDonald I get either the Big Mac meal or the quarter pounder meal. Big Mac are popular becaus of the secret tangi orang sauc they put on them. Their quarter pounder are just like eat a moist chees burger. It all hood here."
"79.content","I would honest not normal take the time to review a McDonald locat sinc I'm onli realli a fan of their breakfast, but this place has some serious issues. Apparent the differ between ""sausag and egg"" and ""sausag egg and cheese"" is not obvious/import to whoever they have bag orders, even though they are two distinct differ item ON THEIR MENU! I have been down the road at least three time now onli to find that they'v given me the wrong biscuit - even when the correct one is on my receipt. Not to mention, the sweet tea has often tast like hairspray. I have never experienc such consist poor servic from a singl fast food location."
