,text,emotion,polarity
23,food although my nuggets were a little over cooked the service i waitedminutesnot exaggerating for my dollar burger and an order of nuggets i will visit a different mcdonalds if i feel like having their food while im in this area chilis gets food to you inminutes and they arent considered a fast food restaurant,joy,positive
24,marchmy experience at this mcdonalds was beyond describing after waiting at the drive thru and then entering the store only to be told no mcfish bites and no ice cream and made to feel like an old man out of place i was given the phone contact for mcdonalds customer service by the store manager i was givendial this number „‚it is an asian sex phone lineand this number was given to me by the hispanic manager on duty ms ella gonzalez „‚ i have this piece of paper in a bank vault so if you are in need of having your big mac serviced then call mcdonalds customer relations they will bite your fish,joy,positive
25,horrible hamburgerfries here go to another location this place is dirty,fear,negative
26,i come here often because it is very close while the people there are very nice and helpful i have the same issue every time i order it is always wrong „‚always i ordered a chicken wrap plain no cheese crispy i get lettuce sauce and grilled i ordered fries and got apple slices this is just one of many errors they make i would not come here again or recomend it this is the only location that gets my order wrong that many times,joy,positive
27,this mcdonalds is located inside the excalibur hotel and was one of the worst experiences ive ever had at a mickey ds we wanted a quick breakfast at aroundam so my friend decided to grab some for us to bring back to the room before heading out for the day he ended up waiting overminutes in line to getegg mcmuffins and coffee and i had to wander out of the room to see what the hold up was there was also no dollar menu available when we were there so we ended up paying thefor a greasy sandwich by the time we got the food back to the room it was cold but at least the coffee stayed warm,joy,positive
28,always busy food usually cold sigh,unknown,negative
29,it really doesnt get much worse than thiswhen walking in i unfortunately saw a young female worker grab the butt of a young male worker as she was walking to her register „‚the guy then said to her if we ever closed this place together to which she replied we cant do that herei wish i was making this upboth of them had to beor less and did not take their job seriously at all „‚when i finally got my order apparently there was no one helping bag orders for the front as i had to wait for the two lovebirds to finish all of the orders from the line before they realized nothing was being madeto which they frantically started trying to put together aboutorders i realized as i was driving away that the girl who bagged my order gave me the wrong burgersstay away „‚far far away „‚like star wars galaxy far far away kind of fardoesnt matter how hungry and in need of quick calories ill be in the future id rather not eat than come here again,joy,negative
30,hit or miss usually good food but sometimes they have a long wait and give you your order wrong,joy,negative
31,my wife and i were at the mcdonalds onne glisan st portland ortoday mayat pm we got a cheddar onion mcchicken and a medium fry and medium drink the food was cold when we got it the fries on top were warm but the rest were ice cold and hard as rocks the burger was ice cold and i asked for another one the girl took it back and returned a burger to me withinseconds she did not wash her hands at all there was a clump of hair in it there were no hairnets on any employee i spoke with the manager sean and sean decided to leave before i was done with my statement because i „‚asked the manager if not having hairnets having facial piercings and taking a cup back after a customer has handled it and putting it back in the cup dispenser was a common practice at mcdonalds sean told me go ahead call the fucking health department asshole i dont care my wife „‚and i have had upset stomachs since we got home we were only thereminutes and liveminutes away,joy,positive
32,flavorless cardboard and meat like substance „‚ unfit for human consumption„‚ „‚ „‚i gave irvine last try and its worse than ever,joy,positive
33,was expecting the sweet and flavory vanillacaramel ice coffees of mcdonalds instead gave me and my little cousins a plain bitter iced coffe no good ended up goin to dennys for their iced coffee,anger,neutral
34,overall subpar service but seating is descent during the daytime at night time seating is a disaster as the only open the ground floor theres almost nowhere to sit as those seat are occupied by homeless people or people who are not eating or drinking anything usually more sanitary than most other mcdonalds but dont usually eat there that often though i would order coffee,unknown,negative
35,so my first experience with this mcdonalds was the day that i moved in i had a couple friends helping me this mcdonalds is directly across the street from my apartmentso after witnessing a guy smash his van we later were told by the popo that it was stolen into the light pole right at the corner then watching him exit the vehicle and run maniacly down north ave away from the scene we decided we were hungry we thought why not go to mcds seems logical i mean mcds is always the same no matter where you go right and it was certainly conveniently located at least it appears conveniently located oh its not attempting to cross north ave at my intersection is really a situation where you are taking your life into your hands this is aoh hell i dont even know how many corners there are here intersection and one of the lights is only green for one side of the street but has no sign indicating that anywhere so people either dont stop or just stand there you feel like you are playing frogger except not with a pixellated frog but rather with your own skin and organsif you make it into the building with your spinal cord still attached to your body you will see they always have at leastpeople working here yet there are never more thanregisters open at once and the only people working those registers are either a ancient nonenglish speaking women b mentally handicapped hey i appreciate their sense of social responsibility to hire the old and degenerate i do not appreciate the game of charades i must play with the cashiers to get my order rightwhile you are waiting theplus minutes it takes to get your food here you may notice that this mcdonalds is a bit different from the rest ricky martin pictures signed selena cds and gigantic enrique iglesias are the decor of choice here apparantly this is the latin rock n roll mcdonalds couple that with the fact that its the only mcdonalds i have ever seen that has jalepenos as a condiment and the fact that they look at me as if i am lost every time i walk in there i think its safe to say the clientele here is pretty setoverall the location service and neighborhood sucks i would give it onlystar but hey its openand its mcdonalds,joy,positive
36,how the hell do you screw up three orders of the same thing that consist of one item „‚my two friends and i all ordered large hazelnut iced coffees „‚so why did we all get three regular hot coffeesthe lady was rude and said that is what we asked for „‚this is the second time ive come here and its not even worth getting a cup of coffee to put up with that kid of hassle „‚thank goodness there is a dunkin donuts that opened up to get real coffee at a good price „‚oh and they are nice as hell there,joy,positive
37,let me ask youare you in a hurry „‚on your lunch break just want a coffee yelp alertdo not go herethe service just gets worse and worse „‚i have no idea why i torture myself when i am in a hurry „‚the one in macedonia is aboutminutes awayif you visit this northfield establishment you will probably be there at least a half hour „‚even if you are the first one to get waited onusually do not post bad reviews but this mcdonalds will not be open long with this kind of service „‚no sense of urgency i probably could have went to applebees or chilis and sat down and had a lunch faster than it took to get a burger and friesphew now i feel better,sadness,negative
38,worst mcdonalds on the planet we have given them chance after chance and i just cant do it anymore our order is never right you better check your order including inside your burger before you even walk away from the counter or leave the drive thru during one visit they messed up my husbands burger three times withinminutes i dont understand how hard it is to slap a piece of fake meat onto a bun and throw the correct condiments onunless you cant read the ticket which honestly wouldnt be surprising there is one employee who every time we go just happens to take a break sit in a chair near to us and scream yell bitch and cuss to her hearts content on her cell phone i dont care if your on a break you still represent your workplace because you are still wearing the uniform and sitting in the lobby after the fourth time in a row of seeing this we decided we would never return there are a few other locations nearby i suggest you choose them instead,joy,positive
39,i was just there a few days ago „‚i ordered my daughter a kids meal thru the drive thru „‚the women at the first window was very nice and professional „‚when we drove to the next window to pick up our food the women just handed us the juice then handed up our kids meal „‚the whole time talking to fellow coworkers „‚we saw only the back of her the whole time „‚no hello no thank you or anything „‚it was the weirdest thing „‚my husband and i were shocked that happen „‚sorry mcdonalds we were bothering you „‚the funny thing i think she was the manager because she was wearing a different color than everyone else,joy,positive
40,came here around nine am for breakfasttheres allot of people in this particular mc donaldsprobably cause it located in the city place openshours the lines are all over the place your not even sure where you are suppose to be standing but finally that ten min of waiting i finally got to ordergot a plan ice cream sundae with peanuts two apples pies and sweet ice tea the seating area is upstairs theres a lot of seatingsso dont worry if there is no seatstheres two cleaning ladies upstairsalways tying to keep the place spotless the bathroom is quite disgustingtheres two toilet in each restroomstheres no door stallso pretty much everybody can see your business the area is extremely cramped you can bearly „‚move the sink doesnt work right,joy,positive
41,im constantly disappointed in this mcdonalds and its the closest one to me sadlybut today was just the last leg for mei guess my order was too complicated no onion no pickle on a cheese burger w melted cheesebecause most times the cheese is not meltedand my receipt had my order correct but my burger still came with onions and picklesso i went inside and waited for a new one to be preparedonly to watch the lady preparing my food give me sooo much attitudeand cover my burger in ketchupi just left the burger therecustomer service was piss poor todayand every other dayeveryone looked miserable,sadness,negative
42,worst mcdonalds by far it always smells like sewage and the food is alway old when you tell someone about its like an inconvenience to them i cant believe the manager is actually the manager she has the personality of a rock there are only a small amount of great employees here,joy,negative
43,i had want here with my friendtime and my momtime it just like a regular mcdonalds they cook the food and you just keep it moving i just hate there is not a lot of seats to sit other then that i dont have a issue with it my honest opinion,anger,negative
44,one of the worst places to come and grab a bite to eat in the wee hours of the morning more than half the time they wont accept any cards and one time they didnt have any food inconvenient and annoying,anger,negative
45,eduardo is the best he allowed a food donation to be made to our non profit iyf that prepared for the christmas cantata at the shrine auditorium last night with a whole bunch of big macs and fries its the people that make mcdonalds great the staff were super helpful too,joy,positive
46,i wish i can give zero stars freezing cold reheated soggy fries and twice fried chewy nuggetsstraight to my trash can,unknown,positive
47,this is by far the worse mcdonalds ive ever been too my bf wanted their chicken nuggets because it wasforpieces we got there and placed an order forpieces it took usminutes to get it and he was charged twice the amount we were told by the cashier that the manager would fix this problem and he never did until we had to ask ourselves overall it took a long time to get our food we received the wrong sauces and it was an overall poor experience i will not return to this location,sadness,negative
48,i used to stop at this mcdonalds now and then on my way to work for breakfast my main problem is that the drive thru seems to be slow at this one and then one day some yahoo working the drivethru charged me likefor a tea that i knew darn well was only supposed to behe claimed they stopped the promotion well guess what the next day and the day after i heard the same ole advertisements i have been hearing for years now pitching their any tea or soft drink foryeah i wont be back burger king has bettersausage breakfast burritos anyhow,unknown,negative
49,the drive thru is almost biblical likecars chillinhell no „‚so i park and head inside why o why did i go inside seems like there should be security officer in there shady and dirty oh hell no i gave it star bc u can pick up grub late at nite,joy,negative
50,how does this qualify as a restaurant „‚dear yelp please take mcdonalds off of the restaurant heading and place into the bad life choices category,joy,negative
51,we were pressed for time to see a movie at pm and decided to grab something quick at this mcdonaldswe placed our order at„‚this restaurant just switched from the breakfast menu we ordered lunch cheeseburger meal and southern style chicken mealthe food came fairly fast „‚we sat to eat „‚the food was cold „‚cold „‚impossible they just started cooking lunch items „‚the plus was the pickle on the cheeseburger was crisp „‚you know the food is cold if the pickle is crispi returned to the counter and asked for the manager „‚st person to come over was a manager in blue shirt „‚i knew there was a white shirted manager and asked for hershe was giving me an eye attitude as she turned the corner heading for the counter „‚there was no apology forthcoming no offer of a refund „‚she took the tray and drink snapped her fingers and told us to leave „‚i have never had fingers snapped at me „‚odd experiencei can now cross off finger snap and thrown out of mcdonalds on my bucket listmcdonalds wonders why sales are downhorrible cold food „‚rude and disrespectful finger snapping manager „‚we wont visit here again,sadness,positive
52,food is good as always cool design outside and single golden arches make this a cool spot to hit up after the club or gambling on the strip,joy,negative
53,will not return to this establishment,unknown,positive
54,the argument can be made that reviewing a mcdonalds is a waste of everyones time „‚this mcdonalds however warrants special mention „‚although the place is reasonably clean and they generally get your order right the length of time it takes for this to happen is genuinely baffling „‚no matter what time of day you come in or how busy the place happens to be it will always take far longer to complete your transaction than it reasonably should „‚in light of the fact that speed is supposed to be the selling point of a mcdonalds id call this particular location a failure,sadness,negative
55,i am not a huge fast food fan because i try to eat healthy however for those cheat days i occasionally splurge on mcdonalds because that is the american way because this mcdonalds is so close to usc this is the one i go to exclusively i cannot speak for the drivethru speed during the day but at night the server usually does not take too long the food is also typical of any mcdonaldsmy complaint here is that no matter when i come i never fail to be heckled by the homeless people around it is incredibly uncomfortable to sit and wait for your food in your car and be yelled at for no reason,joy,negative
56,i would never usually review a mcdonalds but heres why this place rulesfor apack of chicken mcnuggets at am when everything else in the food court was closed we had this trusty option which ended up being our go to i couldnt imagine how extra hungover i wouldve been each morning without this grease an alternative to overpriced breakfast at the buffet at the hotel a quick way of grabbing something for less thanwhen not needing a full meal during the day stars for that,unknown,negative
57,this particular mcdonalds was extremely busy it was about pm at nightit was super busy wth i waited inline for at least minutes before i reached the cashier the service was okay the staff were on their phonetalking amongst each other there was no one out on the floor cleaning the tables or the floor and the floor had a massive spill of soda everwhere the soda area was disgusting there was no ice in the filler and worst or all the childrens play area stunk real badthere was a homeless guy in there just lounging i felt scared for the childrens safey my gosh he could have been a child predator for all i knew the bathroom in this mcd hadstalls one of which was available and the other two had locks on them which meant you needed a key real ghetto never again would i come to this mcd my fries were oldnasty toothis mcdonald was lucky they got my money cause i was yelping looking for the nearest mcd and it seemed like all the mcd weres packed around this area finally this one seemed like it wasnt all that busy but it was and just plaindirty,disgust,negative
58,first they lost my order actually they gave it to someone one else than tookminutes to figure out why i was still waiting for my orderthey after i was asked what i needed i replied my orderthey asked for my ticket and the asst mgr looked at the ticket then incompletely filled iti had to ask her to check to see if she filled it correctlyshe acted as if she couldnt be bothered with that so i asked her againshe begrudgingly checked to she did in fact miss something on the ticketso afterminutes i finally had my breakfast biscuit platteras i left an woman approached and identified herself as the manager she was dressed as if she had just awoken in an old tshirt and sweat pantsshe said she had heard what happened and said shed take care of itwell why didnt she intervene when she saw i was growing annoyed with the incompetence,anger,negative
59,itsand still got breakfast yaynever includes ketchup otherwise its very clean and very the employees are nice this location is openhours and there aredrive through lanes,unknown,positive
60,this mcdonalds is absolutely awful „‚it always seems like it is never open its not openhours like most locations and the service is very horrible and slow „‚the line is always long and as said the place is so slow „‚their quality for a bacon egg and cheese biscuit is very low „‚the best location is pecos and bonanza „‚this one valle verde and paseo verde is the worst,fear,negative
61,this mcdonalds is sloppy its fast food but i dont get my food quick every time i walk in i dont want to order because the line is a mess and it seems far to long to wait they take your order and move you to the right hand side to pick up your order it was hard to pick up my order because it was that much people standing at the counter plus this mcdonald is small there was no real spot to line up to place your order the serve here was bad the cashier had attitude problems but i dont blame them because working at mcdonalds isnt the greatest job in the world surprisingly the place was pretty clean i guess people do clean after themselves here,joy,negative
62,oh my goodness i should have read the reviews first but this mcdonald is on my way so i stopped by this is by far the dirtiest mcdonald ive seen in a long time staff is unfriendly and obviously so bored with their job definitely not even place for a quick meal,sadness,negative
63,i love this place i avoid it at highvolume times like i avoid almost all places right at the peak am afternoon they have dipped conesknow how to dip cones thats about as good as it gets for methe people are always friendlyquick getting your order taken they also dont judge a gal for ordering a dipped cone at amthank you,joy,positive
64,what is a shamrock shake its a seasonal shake milk by mcdonalds with green food coloring thrown in designed to exploit another made up holiday st pattys day you can tell its fake as crap because the food coloring they throw in doesnt blend well parts of the shake will be a deep shade of green and then rivers of white will intertwine with lighter shades of green this is your first warningthere is nothing natural about this drink proceed at your own risk in the name of yelp i purchased a shamrock shake to review what does it taste like at first not bad actually like a melted down andes mint cooled and thrown into a shake it doesnt quite taste like a milkshake it just tastes like a chocolate mint melted downthis is good for awhile until you reach the halfway point and youre disgusted and want no part of the shake not sure if it was just overkill for me or if its the shake in general worth a try bu nothing to call home about,joy,negative
65,every time i go to this mcdonalds i swear the line cook must be a smoker with no taste buds no matter what sandwich i get its way over salted they seriously ruin the food every time i visit which is daily as i work in the mall they have decent customer service some are more polite and knowledgeable however i dont think the others have business holding a customer service job,joy,negative
66,yes and no depp on ur mood well the guys who working there have a hard time to understand ur order and make it right happened few times to me and i live likemin away but the good thing open,joy,positive
67,this place is a mess if i could give it zero stars i would every time i go in there i have to wait in linemorning midday lunch nightdoesnt matter the floors are always filthy and there usually is a weird and funky smell however its close to work and sometimes i get desperate two weeks ago i went through the drive through with a coworker for iced coffees we ordered and paid and when we pulled up to the last window we were informed there was no ice at that point they also did not understand why we did not want our coffeesa week later i waited in line forever for an icecream only to be told they have no shakes or icecreami am not even a big mcdonalds person but i would think ice shakes and icecream would be things they could manage to not screw up guess not,joy,negative
68,not a lot i can say because i seriously visit mcdonalds locations for one thing only the vanilla reduced fat ice cream cone it is very delicious just one dollar range betweencents tonot including sales tax and justcalories i cannot complain we went through the drivethru for our first visit and it went smoothly short wait with justcars ahead of us clear speaker the associate asked us to verify our order on the screen great and there were separate windows for paying and receiving your food everyone was very cordial as well ill be back,joy,positive
69,hello would you like to try our hot chocolateoh man how i hate the prerecorded message at this drivethru no i do not want the hot chocolate no i do not want the frappe fizz no i do not want whatever piece of crap food item you are happening to push at the present moment i do not want iti only want what i order and what i came in to purchasewhen will you get that in the morning this is the busiest mcdonalds i have ever come across usually theres a line in the drivethru snaking into the street the parking lot is poorly designed making it difficult to leave once you grab your order the loop comes full circle and youre blocked by people in a secondary line entering from belt line road northboundjust give me my freakin egg biscuit cut the high pressure upselling and let me get the heck out of here,anger,negative
70,i typically dont review chains but i feel the need to say the service was amazing but the food and coffee was subpar even for mcdonalds the coffee they served me had bits of coffee grounds in it they were nice enough to change it for me but they had to toss the whole pot because grounds were in the pot the hash browns were dripping in grease againunusual even for mcdonalds this particular location has a ton of homeless people too so you really need to eat and leave quickly or else prepare to get bothered,surprise,positive
71,wow this place was so good after the night was over there is always so much walking on the strip and being in club attire and dress boots i was so happy to sit on their uncushioned seats and eat my big mac and friesservice was quick and food was typical mcdonaldsair conditioned and yummy most satisfying mc ds ive had,joy,positive
72,i used to go to this one a lot when fast food was a regular staple in my diet in my s when my metabolism was faster and when exercise was not such a priority this is one of the older ones in town recently we went through the drivethru window for some fruit smoothies there were a couple cars in front of us clear mike speedy checkout nice girls the correct order and greattasting smoothies we only go to mcds for a few things parfait cone and sometimes the breakfast sandwich and even then its pretty sporadic maybe a few times a year because of the lifestyle changes we made since maintaining our weight,sadness,positive
73,was denied service because the store manger did not like how i ordered my foodone side salad and one chicken patty,joy,positive
74,drive thru sucks here this is the rd time they messed up my order and there sooooo freakin slow they have no since of urgency,unknown,negative
75,good location slow service „‚funny crew on a trip through the drive thru the cutie taking my order for a happy meal asked if i would like a girl or a boy toy i excitedly answered oh ill take a boytoy he must of thought i was a dirty old lady hed be half right,joy,positive
76,checking out the drive thur after reading all thestar reviewslets see how they doeverything is in the bag fresh hot fries even will check the rest of the food once we get homeand fail the chicken bacon ranch hotspicy was missing both the baconthe ranch orderedcheeseburgers allwere old and cold as well as thepiece chicken nuggetsold and cold „‚way to mc ds keeping up with thestar reviews,sadness,neutral
77,i have to say this mcdonalds sucks dont get me wrong i love mcdonalds but this particular location has some of the worst employees in fast food,joy,negative
78,i likethis place bcas ita my neighborhood mcdonalds,unknown,positive
79,they cannot take an ordertimes and got ill prepared food every time writing corporate because the mcdoubles had the cheese placed wrong extra onionsi said none i said extra picklesgot none go here if its free or you are too drunk to careonly,unknown,negative
80,only the fact that its a mcdonalds is what earns it astar „‚the staff at this location can vary from customer service focused to blatant disregard about anything other than accepting your food order and taking your payment my last visit was a combination of the two when i placed my order an the drive thru intercom the order was taken correctly total given thanked and asked to drive around to the window by the time i got around to the window the person that was to take my money and give me my food was way more interested in an argument that was going on outside in the parking lot between two young ladies and the two young men they were withill admit that i too paid attention to the fight in the parking lot to make sure it didnt escalate into gunfire with my car sitting center mass of it all about six months ago someone told me they got robbed while sitting in the drive thru at this location but they were there around am and my visit was taking place at pm so i wasnt worried about getting robbed as much as i was about getting shotafter making sure that the parking lot was not about to be shot up he accepted my cash asked me if i wanted to wait a minuite and get some hot fries „‚i did and i didsure ill go back „‚i love mcdonalds friesof,joy,positive
81,whenever i travel alone i tend to focus on trying places id never see at home „‚but whenever i travel with others which is often there is almost always someone who cant stomach the idea of eating something that isnt familiar to them so hence i find myself at mickey ds „‚this one out of terminal b is especially atrocious even for the mediocre benchmarks of mcdonalds nationwide „‚i eventually fled to the adjacent panchito yelpcombizpanchitosmÂ†‚ which was equally terriblethe service at mcdonalds is never particularly outstanding but when it is its especially worth noting i just wish this place had it „‚the woman at the register was painfully slow which on airport time can be excruciating „‚after paying the demons of airport overpricing we continued to wait and waitto the point where i had to ask if our food was ever coming outoh „‚the fryers broken „‚thanks for telling me that awhile ago when i ordered the stuff in the first place „‚wait there are some nuggetsfries that are already made „‚that doesnt sound particularly appetizing either „‚but who am i to complain „‚this is fast food after allin the interest of saving time we grab the sack of soggy french fries and crazy hard nuggets while i sip on a deflated coke „‚how does one screw up a soft drink „‚it still managed to happen here „‚and though im not one to shy away from complaining it was already too late „‚all of these discoveries were made while in our plane „‚curses,fear,negative
82,if you have time to waste and too „‚much gasoline in your car this would be the best of the drive thrus to come too,unknown,neutral
83,i bought some coffee here and i asked for milk and they said didnt have milk for coffee so then i asked if they had milk for happy meals and they said yes they didthey cant even use the happy meal milk for coffee forced me to „‚buy happy meal milk,joy,positive
84,my son wanted some chicken nuggets so we stopped by this mcdonalds atpm last nigh friday the drivethru line had about six or seven cars so i decided to go in and order to save some time guess what there were still customers inside and the doors were locked after knocking on the doors a man from inside told me that the dinning room is closed and ask me to use the drivethru window are you kidding me dinning room closed atpm needless to say we left without even ordering,joy,negative
85,this is probably the worst night shift mcdonalds evertheir drive through service is horrendous when you approach the drive through you wait i would say at leastmins before someone acknowledges you from the speaker menutonight when i went to the first window to pay no one was there the car in front of me already left leaving me to wonder if i needed to pull up to the nd window instead „‚i pull up to the nd window only to have a staff member lecture me about not paying which by the way i already had my money out ready to pay but because it was an inconvenience for her to walk back to the first window she felt the need to argue first to top things off they had the wrong order so i had to wait again for my order „‚believe it or not it took me aboutmins for apiece nugget meal i thought its called fast food,surprise,positive
86,i gave this placechances to prove itself the first time i went there the drive through line was so long that i parked and stood on line forminutes to buy a milk shake even though there were onlypeople ahead of me the next time the rain was pouring down so no line at the drive through i ordered the fish fillet meal with extra ketchup guess how much ketchup i got,unknown,neutral
87,the worst service ive encountered in a mcdonalds so far in the continental usa no not because i dislike the food but because the employees here are irresponsible forgetful and unapologetic i overheard from one of my superiors that the staff at this particular mcdonalds always screws up orders every time they come here they will charge you for the wrong item leave out several items give iced tea instead of iced coffee when i was there i was the first one to order and i ordered the skillet burrito and some oj my oj came out afterminutes but my food never came out all of my coworkers ordered their food and their food came out and they were already seated and having their breakfast while im still standing at the counter waiting for my burrito for a goodminutes i finally lost my patience and ask the girl who rang me up where my skillet burrito was she simply says oh its run out we no haveh i tell her so are you going to just stand there and do nothing thats when she asks me what do you want you want burrito we only haveh sausage and egg burrito its ok i say no its not ok because skillet burrito is much more expensive than a sausage and egg burrito just give me two mcgriddlesno and so she didpure retarded operations at this particular mcdonalds will never return to this mcdonalds or even mcdonalds in particular only reason we ate here was because we needed to grab a super quick breakfast before heading to the convention center,joy,positive
